dataset,config,Epoch 1,Epoch 2,Epoch 3,Epoch 4,best_validation,test_accuracy
standard,A,0.31413612565445026,0.6963350785340314,0.7801047120418848,0.8638743455497382,0.8638743455497382,0.812807881773399
standard,A,0.8795811518324608,0.8691099476439791,0.8848167539267016,0.8848167539267016,0.8848167539267016,0.916256157635468
standard,A,0.9057591623036649,0.8795811518324608,0.8324607329842932,0.8691099476439791,0.9057591623036649,0.9211822660098522
standard,A,0.900523560209424,0.9528795811518325,0.9214659685863874,0.8743455497382199,0.9528795811518325,0.9359605911330049
standard,A,0.9057591623036649,0.900523560209424,0.8795811518324608,0.8324607329842932,0.9057591623036649,0.8719211822660099
standard,A,0.93717277486911,0.9319371727748691,0.8795811518324608,0.900523560209424,0.93717277486911,0.9408866995073891
standard,A,0.8743455497382199,0.8638743455497382,0.9424083769633508,0.9581151832460733,0.9581151832460733,0.9655172413793104
standard,A,0.9581151832460733,0.9267015706806283,0.9319371727748691,0.9424083769633508,0.9581151832460733,0.9556650246305419
standard,A,0.900523560209424,0.9267015706806283,0.9267015706806283,0.8219895287958116,0.9267015706806283,0.9310344827586207
standard,A,0.9162303664921466,0.9214659685863874,0.9162303664921466,0.93717277486911,0.93717277486911,0.9359605911330049
standard,A,0.93717277486911,0.9528795811518325,0.93717277486911,0.8900523560209425,0.9528795811518325,0.9753694581280788
standard,A,0.8848167539267016,0.9162303664921466,0.8691099476439791,0.8900523560209425,0.9162303664921466,0.9064039408866995
standard,A,0.9057591623036649,0.9528795811518325,0.8952879581151832,0.93717277486911,0.9528795811518325,0.9064039408866995
standard,A,0.9528795811518325,0.9319371727748691,0.8900523560209425,0.8900523560209425,0.9528795811518325,0.9458128078817734
standard,A,0.9685863874345549,0.8272251308900523,0.8848167539267016,0.9057591623036649,0.9685863874345549,0.9310344827586207
standard,A,0.9109947643979057,0.8743455497382199,0.8848167539267016,0.9214659685863874,0.9214659685863874,0.9261083743842364
standard,A,0.9057591623036649,0.9214659685863874,0.8848167539267016,0.9214659685863874,0.9214659685863874,0.9359605911330049
standard,A,0.9424083769633508,0.9476439790575916,0.9214659685863874,0.9162303664921466,0.9476439790575916,0.9408866995073891
standard,A,0.9162303664921466,0.9214659685863874,0.9057591623036649,0.8743455497382199,0.9214659685863874,0.9113300492610837
standard,A,0.9319371727748691,0.9162303664921466,0.9581151832460733,0.9057591623036649,0.9581151832460733,0.916256157635468
standard,A,0.8795811518324608,0.900523560209424,0.8900523560209425,0.900523560209424,0.900523560209424,0.9261083743842364
standard,A,0.9109947643979057,0.93717277486911,0.9267015706806283,0.9214659685863874,0.93717277486911,0.8817733990147784
standard,A,0.9214659685863874,0.9109947643979057,0.9476439790575916,0.9633507853403142,0.9633507853403142,0.9753694581280788
standard,A,0.9633507853403142,0.9319371727748691,0.9214659685863874,0.9319371727748691,0.9633507853403142,0.9753694581280788
standard,A,0.9476439790575916,0.9162303664921466,0.9528795811518325,0.8848167539267016,0.9528795811518325,0.916256157635468
standard,A,0.9633507853403142,0.8952879581151832,0.93717277486911,0.9109947643979057,0.9633507853403142,0.9359605911330049
standard,A,0.8795811518324608,0.8638743455497382,0.8848167539267016,0.9214659685863874,0.9214659685863874,0.9359605911330049
standard,A,0.9162303664921466,0.8952879581151832,0.9057591623036649,0.9319371727748691,0.9319371727748691,0.9310344827586207
standard,A,0.9528795811518325,0.9057591623036649,0.9267015706806283,0.8638743455497382,0.9528795811518325,0.8571428571428571
standard,A,0.9528795811518325,0.900523560209424,0.9109947643979057,0.9057591623036649,0.9528795811518325,0.8817733990147784
standard,A,0.9109947643979057,0.9162303664921466,0.900523560209424,0.8167539267015707,0.9162303664921466,0.9261083743842364
standard,A,0.900523560209424,0.8952879581151832,0.8900523560209425,0.8219895287958116,0.900523560209424,0.9359605911330049
standard,A,0.9057591623036649,0.9319371727748691,0.9528795811518325,0.9267015706806283,0.9528795811518325,0.8916256157635468
standard,A,0.9424083769633508,0.93717277486911,0.9528795811518325,0.9267015706806283,0.9528795811518325,0.9507389162561576
standard,A,0.9057591623036649,0.8952879581151832,0.9319371727748691,0.9162303664921466,0.9319371727748691,0.9261083743842364
standard,A,0.9109947643979057,0.9214659685863874,0.8743455497382199,0.9057591623036649,0.9214659685863874,0.8916256157635468
standard,A,0.8691099476439791,0.837696335078534,0.9057591623036649,0.8481675392670157,0.9057591623036649,0.8522167487684729
standard,A,0.9267015706806283,0.8848167539267016,0.9424083769633508,0.9424083769633508,0.9424083769633508,0.9359605911330049
standard,A,0.9109947643979057,0.93717277486911,0.9109947643979057,0.8743455497382199,0.93717277486911,0.8866995073891626
standard,A,0.8534031413612565,0.9057591623036649,0.8952879581151832,0.93717277486911,0.93717277486911,0.812807881773399
standard,A,0.8900523560209425,0.8691099476439791,0.900523560209424,0.9267015706806283,0.9267015706806283,0.9113300492610837
standard,A,0.9057591623036649,0.8481675392670157,0.8900523560209425,0.8795811518324608,0.9057591623036649,0.8325123152709359
standard,A,0.9109947643979057,0.9214659685863874,0.9424083769633508,0.8900523560209425,0.9424083769633508,0.9064039408866995
standard,A,0.8638743455497382,0.8586387434554974,0.8638743455497382,0.7801047120418848,0.8638743455497382,0.9310344827586207
standard,A,0.9162303664921466,0.9267015706806283,0.9162303664921466,0.8743455497382199,0.9267015706806283,0.9261083743842364
standard,A,0.93717277486911,0.9267015706806283,0.8952879581151832,0.8795811518324608,0.93717277486911,0.896551724137931
standard,A,0.9109947643979057,0.9109947643979057,0.900523560209424,0.8691099476439791,0.9109947643979057,0.9211822660098522
